Date,Start (ET), , , ,Opponent, , ,Tm,Opp,W,L,Streak,Attend.,LOG,Notes
"Tue, Feb 6, 2024",8:00p,,Box Score,,Minnesota Timberwolves,W,OT,129,123,24,27,W 1,"20,949",2:40,
"Thu, Feb 8, 2024",8:00p,,Box Score,@,Memphis Grizzlies,W,,118,110,25,27,W 2,"16,285",2:13,
"Sat, Feb 10, 2024",7:00p,,Box Score,@,Orlando Magic,L,OT,108,114,25,28,L 1,"19,459",2:21,
"Mon, Feb 12, 2024",7:30p,,Box Score,@,Atlanta Hawks,W,,136,126,26,28,W 1,"16,524",2:15,
"Wed, Feb 14, 2024",7:30p,,Box Score,@,Cleveland Cavaliers,L,,105,108,26,29,L 1,"19,432",2:20,
"Thu, Feb 22, 2024",8:00p,,Box Score,,Boston Celtics,L,,112,129,26,30,L 2,"20,313",2:03,
"Sun, Feb 25, 2024",7:00p,,Box Score,@,New Orleans Pelicans,W,,114,106,27,30,W 1,"18,684",2:05,
"Tue, Feb 27, 2024",8:00p,,Box Score,,Detroit Pistons,L,,95,105,27,31,L 1,"21,089",2:05,
"Wed, Feb 28, 2024",8:00p,,Box Score,,Cleveland Cavaliers,W,2OT,132,123,28,31,W 1,"21,700",2:43,
"Fri, Mar 1, 2024",10:00p,,Box Score,,Milwaukee Bucks,L,,97,113,28,32,L 1,"21,249",2:24,
"Mon, Mar 4, 2024",10:00p,,Box Score,@,Sacramento Kings,W,,113,109,29,32,W 1,"17,832",2:19,
"Wed, Mar 6, 2024",9:00p,,Box Score,@,Utah Jazz,W,,119,117,30,32,W 2,"18,206",2:13,
"Thu, Mar 7, 2024",10:00p,,Box Score,@,Golden State Warriors,W,,125,122,31,32,W 3,"18,064",2:17,
"Sat, Mar 9, 2024",4:00p,,Box Score,@,Los Angeles Clippers,L,,102,112,31,33,L 1,"19,370",2:11,
"Mon, Mar 11, 2024",8:00p,,Box Score,,Dallas Mavericks,L,,92,127,31,34,L 2,"21,363",1:58,
"Wed, Mar 13, 2024",7:30p,,Box Score,@,Indiana Pacers,W,OT,132,129,32,34,W 1,"17,274",2:44,
"Thu, Mar 14, 2024",8:00p,,Box Score,,Los Angeles Clippers,L,,111,126,32,35,L 1,"21,219",2:00,
"Sat, Mar 16, 2024",8:00p,,Box Score,,Washington Wizards,W,,127,98,33,35,W 1,"21,697",2:17,
"Mon, Mar 18, 2024",8:00p,,Box Score,,Portland Trail Blazers,W,,110,107,34,35,W 2,"20,293",2:19,
"Thu, Mar 21, 2024",8:00p,,Box Score,@,Houston Rockets,L,,117,127,34,36,L 1,"17,016",2:19,
"Sat, Mar 23, 2024",8:00p,,Box Score,,Boston Celtics,L,,113,124,34,37,L 2,"21,198",2:00,
"Mon, Mar 25, 2024",8:00p,,Box Score,,Washington Wizards,L,,105,107,34,38,L 3,"21,726",2:19,
"Wed, Mar 27, 2024",8:00p,,Box Score,,Indiana Pacers,W,,125,99,35,38,W 1,"22,018",2:12,
"Fri, Mar 29, 2024",7:30p,,Box Score,@,Brooklyn Nets,L,,108,125,35,39,L 1,"17,894",2:13,
"Sun, Mar 31, 2024",7:00p,,Box Score,@,Minnesota Timberwolves,W,,109,101,36,39,W 1,"18,024",2:07,
"Mon, Apr 1, 2024",8:00p,,Box Score,,Atlanta Hawks,L,,101,113,36,40,L 1,"21,114",2:07,
"Fri, Apr 5, 2024",8:00p,,Box Score,,New York Knicks,W,,108,100,37,40,W 1,"21,599",2:17,
"Sun, Apr 7, 2024",6:00p,,Box Score,@,Orlando Magic,L,,98,113,37,41,L 1,"19,276",2:11,
"Tue, Apr 9, 2024",8:00p,,Box Score,,New York Knicks,L,,117,128,37,42,L 2,"21,648",2:12,
"Thu, Apr 11, 2024",7:00p,,Box Score,@,Detroit Pistons,W,,127,105,38,42,W 1,"20,013",2:03,
"Fri, Apr 12, 2024",7:00p,,Box Score,@,Washington Wizards,W,,129,127,39,42,W 2,"20,333",2:20,
"Sun, Apr 14, 2024",1:00p,,Box Score,@,New York Knicks,L,OT,119,120,39,43,L 1,"19,812",2:35,
"Wed, Apr 17, 2024",9:30p,,Box Score,,Atlanta Hawks,W,,131,116,40,43,W 1,"21,627",2:16,Play-In Game
"Fri, Apr 19, 2024",7:00p,,Box Score,@,Miami Heat,L,,91,112,40,44,L 1,"19,600",2:09,Play-In Game
