G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
39,2024-01-13,23-361,CHI,@,SAS,W (+6),0,29:20,8,9,.889,3,3,1.000,2,2,1.000,0,2,2,4,1,0,2,4,21,18.7,+7
40,2024-01-15,23-363,CHI,@,CLE,L (-18),0,19:13,3,7,.429,1,2,.500,3,3,1.000,1,2,3,3,0,0,0,3,10,8.5,+6
41,2024-01-18,24-001,CHI,@,TOR,W (+6),0,32:02,4,9,.444,0,1,.000,2,2,1.000,0,1,1,5,0,1,0,2,10,9.0,+10
42,2024-01-20,24-003,CHI,,MEM,W (+29),0,27:55,7,10,.700,3,5,.600,3,3,1.000,0,6,6,4,1,1,3,1,20,18.7,+28
43,2024-01-22,24-005,CHI,@,PHO,L (-2),0,30:09,6,11,.545,0,2,.000,1,2,.500,1,0,1,0,2,1,1,2,13,8.9,-10
44,2024-01-25,24-008,CHI,@,LAL,L (-9),0,29:31,6,11,.545,2,5,.400,4,4,1.000,1,1,2,1,2,1,2,2,18,14.3,-11
45,2024-01-28,24-011,CHI,@,POR,W (+8),1,32:58,5,12,.417,1,4,.250,0,0,,0,5,5,3,0,3,1,1,11,8.9,+1
46,2024-01-30,24-013,CHI,,TOR,L (-11),1,39:03,8,11,.727,4,5,.800,1,2,.500,1,4,5,2,0,1,4,4,21,14.5,-10
47,2024-01-31,24-014,CHI,@,CHO,W (+7),1,38:51,7,10,.700,2,5,.400,0,0,,0,1,1,6,3,1,1,3,16,17.8,+18
48,2024-02-03,24-017,CHI,,SAC,L (-8),1,39:01,7,16,.438,3,9,.333,1,2,.500,1,3,4,5,2,0,2,3,18,13.1,-15
49,2024-02-06,24-020,CHI,,MIN,W (+6),0,28:59,3,6,.500,0,1,.000,0,1,.000,0,1,1,3,1,2,2,3,6,4.2,-9
50,2024-02-08,24-022,CHI,@,MEM,W (+8),1,27:28,4,5,.800,2,2,1.000,0,0,,0,0,0,2,0,0,2,2,10,6.7,-1
51,2024-02-10,24-024,CHI,@,ORL,L (-6),1,39:25,7,12,.583,5,8,.625,0,0,,0,2,2,2,1,0,1,5,19,13.4,+1
52,2024-02-12,24-026,CHI,@,ATL,W (+10),1,38:32,12,18,.667,5,7,.714,0,1,.000,0,2,2,7,1,1,2,2,29,25.2,+13
53,2024-02-14,24-028,CHI,@,CLE,L (-3),1,33:11,4,10,.400,4,7,.571,0,0,,2,2,4,2,0,0,3,3,12,5.8,-5
54,2024-02-22,24-036,CHI,,BOS,L (-17),1,40:40,6,14,.429,2,6,.333,0,0,,1,7,8,8,1,0,2,3,14,12.8,-14
55,2024-02-25,24-039,CHI,@,NOP,W (+8),1,39:08,8,15,.533,3,6,.500,2,2,1.000,1,2,3,8,3,0,1,1,21,22.2,+6
56,2024-02-27,24-041,CHI,,DET,L (-10),1,38:30,4,14,.286,0,5,.000,0,0,,3,3,6,6,3,0,2,2,8,7.2,-18
57,2024-02-28,24-042,CHI,,CLE,W (+9),1,47:30,6,14,.429,4,9,.444,5,6,.833,1,2,3,4,1,1,4,0,21,15.0,+10
58,2024-03-01,24-044,CHI,,MIL,L (-16),1,37:57,6,12,.500,2,6,.333,1,1,1.000,0,5,5,6,0,0,3,2,15,10.9,-3
59,2024-03-04,24-047,CHI,@,SAC,W (+4),1,38:34,9,15,.600,2,5,.400,0,0,,1,1,2,5,1,0,0,2,20,17.8,-7
60,2024-03-06,24-049,CHI,@,UTA,W (+2),1,36:20,2,11,.182,1,6,.167,3,4,.750,0,2,2,9,1,0,2,2,8,5.8,-3
61,2024-03-07,24-050,CHI,@,GSW,W (+3),1,37:31,6,12,.500,2,5,.400,0,0,,1,2,3,6,0,2,2,3,14,11.7,-9
62,2024-03-09,24-052,CHI,@,LAC,L (-10),1,36:15,5,11,.455,3,7,.429,0,0,,0,2,2,4,2,1,1,4,13,10.8,-7
63,2024-03-11,24-054,CHI,,DAL,L (-35),1,29:04,4,13,.308,1,5,.200,0,0,,2,6,8,6,1,1,2,2,9,7.8,-35
64,2024-03-13,24-056,CHI,@,IND,W (+3),1,43:02,7,12,.583,1,4,.250,5,6,.833,0,4,4,3,0,2,2,3,20,15.5,+1
65,2024-03-14,24-057,CHI,,LAC,L (-15),1,34:51,2,11,.182,1,5,.200,2,2,1.000,2,2,4,4,0,0,3,2,7,1.1,-24
66,2024-03-16,24-059,CHI,,WAS,W (+29),1,40:30,14,22,.636,4,7,.571,2,2,1.000,1,2,3,9,1,0,1,2,34,31.0,+22
