G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Home/Away
27.0,2023-12-20,23-337,CHI,,LAL,W (+16),0,21:59,5.0,8.0,0.625,4.0,6.0,0.667,0.0,0.0,,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,14,14.1,0.0,Home
28.0,2023-12-21,23-338,CHI,,SAS,W (+19),0,26:23,5.0,8.0,0.625,1.0,4.0,0.25,0.0,0.0,,0.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,11,8.2,13.0,Home
29.0,2023-12-23,23-340,CHI,,CLE,L (-14),0,19:35,2.0,6.0,0.333,0.0,3.0,0.0,0.0,0.0,,1.0,2.0,3.0,1.0,0.0,0.0,1.0,3.0,4,0.4,-8.0,Home
30.0,2023-12-26,23-343,CHI,,ATL,W (+5),0,35:17,6.0,14.0,0.429,2.0,4.0,0.5,5.0,6.0,0.833,4.0,3.0,7.0,4.0,3.0,0.0,0.0,1.0,19,20.3,11.0,Home
31.0,2023-12-28,23-345,CHI,,IND,L (-16),0,33:21,7.0,15.0,0.467,0.0,2.0,0.0,1.0,2.0,0.5,1.0,4.0,5.0,3.0,0.0,0.0,0.0,3.0,15,9.7,-9.0,Home
32.0,2023-12-30,23-347,CHI,,PHI,W (+13),0,29:16,3.0,11.0,0.273,0.0,4.0,0.0,0.0,0.0,,2.0,1.0,3.0,2.0,0.0,1.0,0.0,2.0,6,2.5,0.0,Home
33.0,2024-01-02,23-350,CHI,@,PHI,L (-13),0,31:31,7.0,14.0,0.5,1.0,4.0,0.25,0.0,0.0,,0.0,3.0,3.0,0.0,1.0,0.0,3.0,2.0,15,6.1,-19.0,Home
34.0,2024-01-03,23-351,CHI,@,NYK,L (-16),0,31:23,2.0,12.0,0.167,1.0,6.0,0.167,2.0,2.0,1.0,0.0,4.0,4.0,4.0,0.0,2.0,0.0,1.0,7,4.4,-11.0,Home
35.0,2024-01-05,23-353,CHI,,CHO,W (+13),1,40:09,5.0,9.0,0.556,2.0,3.0,0.667,0.0,0.0,,0.0,5.0,5.0,4.0,1.0,2.0,0.0,2.0,12,13.6,14.0,Home
36.0,2024-01-08,23-356,CHI,@,CHO,W (+7),0,17:35,2.0,3.0,0.667,0.0,0.0,,2.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,3.0,6,5.3,-3.0,Home
37.0,2024-01-10,23-358,CHI,,HOU,W (+5),0,18:01,3.0,8.0,0.375,2.0,4.0,0.5,0.0,0.0,,2.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,8,7.7,-5.0,Home
