SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22024,1610612741,CHI,Chicago Bulls,0022400123,2024-10-30,CHI vs. ORL,W,239,102,36,84,0.429,13,34,0.382,17,25,0.68,9,45,54,23,6,2,14,16,3.0
22024,1610612741,CHI,Chicago Bulls,0022400108,2024-10-28,CHI @ MEM,W,241,126,45,100,0.45,25,53,0.472,11,17,0.647,11,39,50,36,5,6,9,15,3.0
22024,1610612741,CHI,Chicago Bulls,0022400091,2024-10-26,CHI vs. OKC,L,238,95,32,92,0.348,15,53,0.283,16,22,0.727,11,50,61,23,6,2,26,19,-19.0
22024,1610612741,CHI,Chicago Bulls,0022400083,2024-10-25,CHI @ MIL,W,239,133,46,96,0.479,21,47,0.447,20,23,0.87,9,37,46,30,10,4,9,17,11.0
22024,1610612741,CHI,Chicago Bulls,0022400069,2024-10-23,CHI @ NOP,L,242,111,42,86,0.488,10,34,0.294,17,25,0.68,9,38,47,26,4,2,21,16,-12.0
12024,1610612741,CHI,Chicago Bulls,0012400070,2024-10-18,CHI vs. CLE,W,266,139,53,115,0.461,19,56,0.339,14,21,0.667,12,48,60,34,10,5,18,27,2.0
12024,1610612741,CHI,Chicago Bulls,0012400059,2024-10-16,CHI vs. MIN,W,240,125,44,91,0.484,18,41,0.439,19,24,0.792,7,39,46,32,7,5,14,17,2.0
12024,1610612741,CHI,Chicago Bulls,0012400048,2024-10-14,CHI @ MIL,L,241,107,36,94,0.383,17,54,0.315,18,24,0.75,13,37,50,25,9,6,14,23,-4.0
12024,1610612741,CHI,Chicago Bulls,0012400037,2024-10-12,CHI vs. MEM,L,238,121,40,97,0.412,20,48,0.417,21,27,0.778,15,31,46,26,13,6,18,24,-3.0
12024,1610612741,CHI,Chicago Bulls,0012400016,2024-10-08,CHI @ CLE,W,241,116,46,109,0.422,8,40,0.2,16,20,0.8,12,47,59,24,8,9,13,18,4.0
